Queries:
Query:
Country of Operator/Owner	Current Official Name of Satellite	
Multinational	Eutelsat 113 West A	
Multinational	Eutelsat 117 West A	
Multinational	Eutelsat 117 West B	
Mexico	Mexsat-3	
Mexico	Mexsat-3	
Mexico	Painani-1	
Total Rows: 6
Query:
Current Official Name of Satellite	Class of Orbit	Launch Mass (kg.)	
Mohammed VI-A	LEO	"1,110"	
Mohammed VI-B	LEO	"1,110"	
Monolith	LEO	20	
Microvariability & Oscillations of Stars (MOST)	LEO	53	
MOVE II	LEO	2	
MOVE Iib	LEO	1	
Mozhayets 4	LEO	64	
MP6	LEO	7	
MSAT 2	GEO	"2,850"	
Multispectral Thermal Imager (MTI)	LEO	587	
MUOS-1	GEO	"6,804"	
MUOS-2	GEO	"6,804"	
MUOS-3	GEO	"6,804"	
MUOS-4	GEO	"6,804"	
MUOS-5	GEO	"6,804"	
NanoACE	LEO	6	
NanoDragon	LEO	4	
Nanosat-1	LEO	20	
Nanosat-1B	LEO	20	
NANOSATC-BR2	LEO	3	
NAPA-1	LEO	10	
NAPA-2	LEO	10	
NARSSCUBE-2	LEO	1	
USA 213	MEO	"1,630"	
USA 262	MEO	"1,630"	
USA 265	MEO	"1,630"	
USA 266	MEO	"1,630"	
USA 232	MEO	"1,630"	
USA 239	MEO	"1,630"	
USA 242	MEO	"1,630"	
USA 248	MEO	"1,630"	
USA 251	MEO	"1,630"	
USA 256	MEO	"1,630"	
USA 258	MEO	"1,630"	
USA 260	MEO	"1,630"	
USA 289	MEO	"2,300"	
USA 293	MEO	"2,300"	
USA 304	MEO	"2,300"	
USA 309	MEO	"2,300"	
USA 319	MEO	"2,300"	
USA 177	MEO	"2,217"	
USA 180	MEO	"2,217"	
USA 132	MEO	"2,217"	
USA 145	MEO	"2,217"	
USA 150	MEO	"2,217"	
USA 151	MEO	"2,217"	
USA 154	MEO	"2,217"	
USA 156	MEO	"2,217"	
USA 166	MEO	"2,217"	
USA 168	MEO	"2,217"	
USA 183	MEO	"2,217"	
USA 190	MEO	"2,060"	
USA 192	MEO	"2,060"	
USA 196	MEO	"2,217"	
USA 199	MEO	"2,060"	
USA 201	MEO	"2,217"	
USA 206	MEO	"2,059"	
Naxing 2	LEO	20	
Nayif-1	LEO	2	
Cosmos 2553)	MEO	"2,000"	
NEMO-HD	LEO	65	
NEO-1	LEO	40	
NEOSSat	LEO	74	
Neptuno	LEO	4	
Netsat-1	LEO	4	
Netsat-2	LEO	4	
Netsat-3	LEO	4	
Netsat-4	LEO	4	
NextSat-1	LEO	100	
Nexus	LEO	4	
NigComSat-1R	GEO	"5,150"	
NigeriaSat-2	LEO	300	
Nigeriasat-X	LEO	100	
Nilesat 201	GEO	"3,200"	
Nimiq 4	GEO	"4,850"	
Nimiq 5	GEO	"4,745"	
Nimiq 6	GEO	"4,745"	
Ningxia-1 01	LEO	100	
Ningxia-1 02	LEO	100	
Ningxia-1 03	LEO	100	
Ningxia-1 04	LEO	100	
Ningxia-1 05	LEO	100	
Ningxia-2 01	LEO	100	
Ningxia-2 02	LEO	100	
Ningxia-2 03	LEO	100	
Ningxia-2 04	LEO	100	
Ningxia-2 05	LEO	100	
NIUSat	LEO	15	
NOAA-15	LEO	"2,223"	
NOAA-18	LEO	"2,223"	
NOAA-19	LEO	"1,420"	
NOAA-20	LEO	"2,294"	
Noor-2	LEO	15	
Norbi	LEO	9	
NorSat-1	LEO	30	
NorSat-2	LEO	16	
NorSat-3	LEO	15	
NovaSAR-1	LEO	430	
NPP	LEO	"2,128"	
NPSat-1	LEO	85	
USA 301	LEO		
USA 302	LEO		
USA 303	LEO		
USA 305	LEO		
USA 306	LEO		
USA 307	LEO		
USA 308	LEO		
USA 294	LEO		
USA 276	LEO		
USA 327	LEO	"1,000"	
USA 326	LEO	"20,000"	
NSLSat-1	LEO	8	
NSS-10	GEO	"5,396"	
NSS-11	GEO	"3,582"	
NSS-12	GEO		
NSS-6	GEO	"4,575"	
NSS-7	GEO	"4,500"	
NSS-9	GEO	"2,238"	
Nusantara Satu (PSN-6)	GEO	"4,100"	
ÑuSat-10	LEO	45	
ÑuSat-11	LEO	45	
ÑuSat-12	LEO	45	
ÑuSat-13	LEO	45	
ÑuSat-14	LEO	45	
ÑuSat-15	LEO	45	
ÑuSat-16	LEO	45	
ÑuSat-17	LEO	45	
ÑuSat-18	LEO	45	
ÑuSat-19	LEO	37	
ÑuSat-20	LEO	37	
ÑuSat-21	LEO	37	
ÑuSat-22	LEO	37	
ÑuSat-23	LEO	42	
ÑuSat-24	LEO	42	
ÑuSat-25	LEO	42	
ÑuSat-26	LEO	42	
ÑuSat-27	LEO	42	
ÑuSat-3 	LEO	35	
ÑuSat-4	LEO	35	
ÑuSat-5	LEO	35	
ÑuSat-6 	LEO	35	
ÑuSat 7	LEO	45	
ÑuSat 8	LEO	45	
ÑuSat-9	LEO	45	
NuSTAR	LEO	360	
USA 219	LEO	6	
O3b FM02	MEO	700	
O3b FM03	MEO	650	
O3b FM04	MEO	700	
O3b FM05	MEO	700	
O3b FM06	MEO	650	
O3b FM07	MEO	650	
O3b FM08	MEO	650	
O3b FM09	MEO	650	
O3b FM10	MEO	650	
O3b FM11	MEO	650	
O3b FM12	MEO	650	
O3b FM13	MEO	650	
O3b FM14	MEO	650	
O3b FM15	MEO	650	
O3b FM16	MEO	650	
O3b FM17	MEO	700	
O3b FM18	MEO	700	
O3b FM19	MEO	700	
O3b FM20	MEO	700	
O3b PFM	MEO	700	
OCO 2	LEO	454	
Oculus ASR	Elliptical	70	
Odin	LEO	250	
Odyssey	LEO		
Ofeq 10	LEO	300	
Ofeq 11	LEO	300	
Ofeq 16	LEO	300	
Ofeq 5	LEO	300	
Ofeq 7	LEO	300	
Ofeq 9	LEO	300	
OneWeb-0006	LEO	148	
OneWeb-0007	LEO	148	
OneWeb-0008	LEO	148	
OneWeb-0010	LEO	148	
OneWeb-0011	LEO	148	
OneWeb-0012	LEO	148	
OneWeb-0013	LEO	148	
OneWeb-0017	LEO	148	
OneWeb-0018	LEO	148	
OneWeb-0019	LEO	148	
OneWeb-0020	LEO	148	
OneWeb-0021	LEO	148	
OneWeb-0022	LEO	148	
OneWeb-0023	LEO	148	
OneWeb-0024	LEO	148	
OneWeb-0025	LEO	148	
OneWeb-0026	LEO	148	
OneWeb-0027	LEO	148	
OneWeb-0028	LEO	148	
OneWeb-0029	LEO	148	
OneWeb-0031	LEO	148	
OneWeb-0032	LEO	148	
OneWeb-0033	LEO	148	
OneWeb-0034	LEO	148	
OneWeb-0035	LEO	148	
OneWeb-0036	LEO	148	
OneWeb-0037	LEO	148	
OneWeb-0038	LEO	148	
OneWeb-0039	LEO	148	
OneWeb-0040	LEO	148	
OneWeb-0041	LEO	148	
OneWeb-0042	LEO	148	
OneWeb-0043	LEO	148	
OneWeb-0044	LEO	148	
OneWeb-0045	LEO	148	
OneWeb-0046	LEO	148	
OneWeb-0047	LEO	148	
OneWeb-0048	LEO	148	
OneWeb-0049	LEO	148	
OneWeb-0050	LEO	148	
OneWeb-0051	LEO	148	
OneWeb-0052	LEO	148	
OneWeb-0053	LEO	148	
OneWeb-0054	LEO	148	
OneWeb-0055	LEO	148	
OneWeb-0056	LEO	148	
OneWeb-0057	LEO	148	
OneWeb-0058	LEO	148	
OneWeb-0059	LEO	148	
OneWeb-0060	LEO	148	
OneWeb-0061	LEO	148	
OneWeb-0062	LEO	148	
OneWeb-0063	LEO	148	
OneWeb-0064	LEO	148	
OneWeb-0065	LEO	148	
OneWeb-0066	LEO	148	
OneWeb-0067	LEO	148	
OneWeb-0068	LEO	148	
OneWeb-0069	LEO	148	
OneWeb-0080	LEO	148	
OneWeb-0081	LEO	148	
OneWeb-0082	LEO	148	
OneWeb-0083	LEO	148	
OneWeb-0085	LEO	148	
OneWeb-0086	LEO	148	
OneWeb-0087	LEO	148	
OneWeb-0088	LEO	148	
OneWeb-0090	LEO	148	
OneWeb-0092	LEO	148	
OneWeb-0093	LEO	148	
OneWeb-0094	LEO	148	
OneWeb-0095	LEO	148	
OneWeb-0096	LEO	148	
OneWeb-0098	LEO	148	
OneWeb-0101 	LEO	148	
OneWeb-0102	LEO	148	
OneWeb-0107 	LEO	148	
OneWeb-0108 	LEO	148	
OneWeb-0109 	LEO	148	
OneWeb-0110 	LEO	148	
OneWeb-0111 	LEO	148	
OneWeb-0112 	LEO	148	
OneWeb-0113 	LEO	148	
OneWeb-0114 	LEO	148	
OneWeb-0115 	LEO	148	
OneWeb-0116 	LEO	148	
OneWeb-0117 	LEO	148	
OneWeb-0118 	LEO	148	
OneWeb-0119 	LEO	148	
OneWeb-0120 	LEO	148	
OneWeb-0121 	LEO	148	
OneWeb-0122 	LEO	148	
OneWeb-0123 	LEO	148	
OneWeb-0124 	LEO	148	
OneWeb-0125 	LEO	148	
OneWeb-0126 	LEO	148	
OneWeb-0127 	LEO	148	
OneWeb-0128 	LEO	148	
OneWeb-0129 	LEO	148	
OneWeb-0130 	LEO	148	
OneWeb-0131 	LEO	148	
OneWeb-0132 	LEO	148	
OneWeb-0133 	LEO	148	
OneWeb-0134 	LEO	148	
OneWeb-0135 	LEO	148	
OneWeb-0136 	LEO	148	
OneWeb-0137 	LEO	148	
OneWeb-0138 	LEO	148	
OneWeb-0139 	LEO	148	
OneWeb-0140 	LEO	148	
OneWeb-0141 	LEO	148	
OneWeb-0142 	LEO	148	
OneWeb-0143 	LEO	148	
OneWeb-0144 	LEO	148	
OneWeb-0145 	LEO	148	
OneWeb-0146 	LEO	148	
OneWeb-0147 	LEO	148	
OneWeb-0148 	LEO	148	
OneWeb-0149 	LEO	148	
OneWeb-0150 	LEO	148	
OneWeb-0151 	LEO	148	
OneWeb-0152 	LEO	148	
OneWeb-0153 	LEO	148	
OneWeb-0154 	LEO	148	
OneWeb-0155 	LEO	148	
OneWeb-0156 	LEO	148	
OneWeb-0157 	LEO	148	
OneWeb-0158 	LEO	148	
OneWeb-0159 	LEO	148	
OneWeb-0160 	LEO	148	
OneWeb-0161 	LEO	148	
OneWeb-0162 	LEO	148	
OneWeb-0163 	LEO	148	
OneWeb-0164 	LEO	148	
OneWeb-0165 	LEO	148	
OneWeb-0166 	LEO	148	
OneWeb-0167 	LEO	148	
OneWeb-0168 	LEO	148	
OneWeb-0169 	LEO	148	
OneWeb-0170 	LEO	148	
OneWeb-0171 	LEO	148	
OneWeb-0172 	LEO	148	
OneWeb-0173 	LEO	148	
OneWeb-0174 	LEO	148	
OneWeb-0175 	LEO	148	
OneWeb-0176 	LEO	148	
OneWeb-0177 	LEO	148	
OneWeb-0178 	LEO	148	
OneWeb-0179 	LEO	148	
OneWeb-0180 	LEO	148	
OneWeb-0181 	LEO	148	
OneWeb-0182 	LEO	148	
OneWeb-0183 	LEO	148	
OneWeb-0184 	LEO	148	
OneWeb-0185 	LEO	148	
OneWeb-0186 	LEO	148	
OneWeb-0187 	LEO	148	
OneWeb-0188 	LEO	148	
OneWeb-0189 	LEO	148	
OneWeb-0190	LEO	148	
OneWeb-0191 	LEO	148	
OneWeb-0192 	LEO	148	
OneWeb-0193 	LEO	148	
OneWeb-0194 	LEO	148	
OneWeb-0195 	LEO	148	
OneWeb-0196 	LEO	148	
OneWeb-0197 	LEO	148	
OneWeb-0198 	LEO	148	
OneWeb-0199 	LEO	148	
OneWeb-0200 	LEO	148	
OneWeb-0201 	LEO	148	
OneWeb-0202 	LEO	148	
OneWeb-0203 	LEO	148	
OneWeb-0204 	LEO	148	
OneWeb-0205 	LEO	148	
OneWeb-0206 	LEO	148	
OneWeb-0207 	LEO	148	
OneWeb-0208 	LEO	148	
OneWeb-0209 	LEO	148	
OneWeb-0210	LEO	148	
OneWeb-0211	LEO	148	
OneWeb-0212	LEO	148	
OneWeb-0213	LEO	148	
OneWeb-0214	LEO	148	
OneWeb-0215	LEO	148	
OneWeb-0216	LEO	148	
OneWeb-0217 	LEO	148	
OneWeb-0218 	LEO	148	
OneWeb-0219 	LEO	148	
OneWeb-0220 	LEO	148	
OneWeb-0221	LEO	148	
OneWeb-0222	LEO	148	
OneWeb-0223	LEO	148	
OneWeb-0224	LEO	148	
OneWeb-0225	LEO	148	
OneWeb-0226	LEO	148	
OneWeb-0227	LEO	148	
OneWeb-0228	LEO	148	
OneWeb-0229	LEO	148	
OneWeb-0230	LEO	148	
OneWeb-0231	LEO	148	
OneWeb-0232	LEO	148	
OneWeb-0233	LEO	148	
OneWeb-0234	LEO	148	
OneWeb-0235	LEO	148	
OneWeb-0236	LEO	148	
OneWeb-0237	LEO	148	
OneWeb-0238	LEO	148	
OneWeb-0239	LEO	148	
OneWeb-0240	LEO	148	
OneWeb-0241	LEO	148	
OneWeb-0242	LEO	148	
OneWeb-0243	LEO	148	
OneWeb-0244	LEO	148	
OneWeb-0245	LEO	148	
OneWeb-0246	LEO	148	
OneWeb-0247	LEO	148	
OneWeb-0248	LEO	148	
OneWeb-0249	LEO	148	
OneWeb-0250	LEO	148	
OneWeb-0251	LEO	148	
OneWeb-0252	LEO	148	
OneWeb-0253	LEO	148	
OneWeb-0254	LEO	148	
OneWeb-0255	LEO	148	
OneWeb-0256	LEO	148	
OneWeb-0257	LEO	148	
OneWeb-0258	LEO	148	
OneWeb-0259	LEO	148	
OneWeb-0260	LEO	148	
OneWeb-0261	LEO	148	
OneWeb-0262	LEO	148	
OneWeb-0263	LEO	148	
OneWeb-0264	LEO	148	
OneWeb-0266	LEO	148	
OneWeb-0267	LEO	148	
OneWeb-0268	LEO	148	
OneWeb-0269	LEO	148	
OneWeb-0270	LEO	148	
OneWeb-0271	LEO	148	
OneWeb-0272	LEO	148	
OneWeb-0273	LEO	148	
OneWeb-0274	LEO	148	
OneWeb-0275	LEO	148	
OneWeb-0276	LEO	148	
OneWeb-0277	LEO	148	
OneWeb-0278	LEO	148	
OneWeb-0279	LEO	148	
OneWeb-0280	LEO	148	
OneWeb-0281	LEO	148	
OneWeb-0282	LEO	148	
OneWeb-0283	LEO	148	
OneWeb-0284	LEO	148	
OneWeb-0285	LEO	148	
OneWeb-0286	LEO	148	
OneWeb-0287	LEO	148	
OneWeb-0288	LEO	148	
OneWeb-0289	LEO	148	
OneWeb-0290	LEO	148	
OneWeb-0291	LEO	148	
OneWeb-0292 	LEO	148	
OneWeb-0293	LEO	148	
OneWeb-0294	LEO	148	
OneWeb-0295	LEO	148	
OneWeb-0296	LEO	148	
OneWeb-0297	LEO	148	
OneWeb-0298	LEO	148	
OneWeb-0299	LEO	148	
OneWeb-0300	LEO	148	
OneWeb-0301	LEO	148	
OneWeb-0302	LEO	148	
OneWeb-0303 	LEO	148	
OneWeb-0304	LEO	148	
OneWeb-0305	LEO	148	
OneWeb-0306 	LEO	148	
OneWeb-0307 	LEO	148	
OneWeb-0308	LEO	148	
OneWeb-0309	LEO	148	
OneWeb-0310	LEO	148	
OneWeb-0311	LEO	148	
OneWeb-0312	LEO	148	
OneWeb-0313	LEO	148	
OneWeb-0314	LEO	148	
OneWeb-0315	LEO	148	
OneWeb-0316	LEO	148	
OneWeb-0317	LEO	148	
OneWeb-0318	LEO	148	
OneWeb-0319	LEO	148	
OneWeb-0320 	LEO	148	
OneWeb-0321 	LEO	148	
OneWeb-0322 	LEO	148	
OneWeb-0323	LEO	148	
OneWeb-0324 	LEO	148	
OneWeb-0325 	LEO	148	
OneWeb-0326 	LEO	148	
OneWeb-0327 	LEO	148	
OneWeb-0328 	LEO	148	
OneWeb-0329	LEO	148	
OneWeb-0330	LEO	148	
OneWeb-0331 	LEO	148	
OneWeb-0332 	LEO	148	
OneWeb-0333 	LEO	148	
OneWeb-0334 	LEO	148	
OneWeb-0335 	LEO	148	
OneWeb-0336 	LEO	148	
OneWeb-0337 	LEO	148	
OneWeb-0338 	LEO	148	
OneWeb-0339 	LEO	148	
OneWeb-0340 	LEO	148	
OneWeb-0341 	LEO	148	
OneWeb-0342 	LEO	148	
OneWeb-0343 	LEO	148	
OneWeb-0344 	LEO	148	
OneWeb-0345 	LEO	148	
OneWeb-0346 	LEO	148	
OneWeb-0347 	LEO	148	
OneWeb-0348 	LEO	148	
OneWeb-0349 	LEO	148	
OneWeb-0350 	LEO	148	
OneWeb-0351 	LEO	148	
OneWeb-0352 	LEO	148	
OneWeb-0353 	LEO	148	
OneWeb-0354 	LEO	148	
OneWeb-0355 	LEO	148	
OneWeb-0356 	LEO	148	
OneWeb-0357 	LEO	148	
OneWeb-0358 	LEO	148	
OneWeb-0359 	LEO	148	
OneWeb-0360 	LEO	148	
OneWeb-0361 	LEO	148	
OneWeb-0362 	LEO	148	
OneWeb-0363 	LEO	148	
OneWeb-0364 	LEO	148	
OneWeb-0365 	LEO	148	
OneWeb-0366 	LEO	148	
OneWeb-0367 	LEO	148	
OneWeb-0368 	LEO	148	
OneWeb-0369 	LEO	148	
OneWeb-0370 	LEO	148	
OneWeb-0371 	LEO	148	
OneWeb-0372 	LEO	148	
OneWeb-0373 	LEO	148	
OneWeb-0374 	LEO	148	
OneWeb-0375 	LEO	148	
OneWeb-0376 	LEO	148	
OneWeb-0377 	LEO	148	
OneWeb-0378 	LEO	148	
OneWeb-0379 	LEO	148	
OneWeb-0380 	LEO	148	
OneWeb-0381 	LEO	148	
OneWeb-0382 	LEO	148	
OneWeb-0383 	LEO	148	
OneWeb-0384 	LEO	148	
OneWeb-0385 	LEO	148	
OneWeb-0386 	LEO	148	
OneWeb-0387 	LEO	148	
OneWeb-0388 	LEO	148	
OneWeb-0389 	LEO	148	
OneWeb-0390 	LEO	148	
OneWeb-0391 	LEO	148	
OneWeb-0392 	LEO	148	
OneWeb-0393 	LEO	148	
OneWeb-0394 	LEO	148	
OneWeb-0395 	LEO	148	
OneWeb-0396 	LEO	148	
OneWeb-0397 	LEO	148	
OneWeb-0398 	LEO	148	
OneWeb-0399 	LEO	148	
OneWeb-0400 	LEO	148	
OneWeb-0401 	LEO	148	
OneWeb-0402 	LEO	148	
OneWeb-0403 	LEO	148	
OneWeb-0404 	LEO	148	
OneWeb-0405 	LEO	148	
OneWeb-0406 	LEO	148	
OneWeb-0407 	LEO	148	
OneWeb-0409 	LEO	148	
OneWeb-0410	LEO	148	
OneWeb-0411	LEO	148	
OneWeb-0412 	LEO	148	
OneWeb-0413 	LEO	148	
OneWeb-0414 	LEO	148	
OneWeb-0415	LEO	148	
OneWeb-0416	LEO	148	
OneWeb-0417 	LEO	148	
OneWeb-0418 	LEO	148	
OneWeb-0419 	LEO	148	
OneWeb-0420 	LEO	148	
OneWeb-0421 	LEO	148	
OneWeb-0422	LEO	148	
OneWeb-0423	LEO	148	
OneWeb-0424 	LEO	148	
OneWeb-0425	LEO	148	
OneWeb-0426 	LEO	148	
OneWeb-0427 	LEO	148	
OneWeb-0428	LEO	148	
OneWeb-0429 	LEO	148	
OneWeb-0430 	LEO	148	
OneWeb-0431	LEO	148	
OneWeb-0432 	LEO	148	
OneWeb-0434	LEO	148	
OneWeb-0435	LEO	148	
OneWeb-0436	LEO	148	
OneWeb-0438	LEO	148	
OneWeb-0439	LEO	148	
OneWeb-0440 	LEO	148	
OneWeb-0442	LEO	148	
OneWeb-0443	LEO	148	
OneWeb-0444	LEO	148	
OneWeb-0445	LEO	148	
OneWeb-0446	LEO	148	
OneWeb-0448	LEO	148	
OneWeb-0449	LEO	148	
OneWeb-0450 	LEO	148	
OneWeb-0451	LEO	148	
OneWeb-0452	LEO	148	
OneWeb-0455	LEO	148	
OneWeb-0456	LEO	148	
OneWeb-0457	LEO	148	
OneWeb-0458	LEO	148	
OneWeb-0461	LEO	148	
OneWeb-0463	LEO	148	
OneWeb-0464	LEO	148	
OneWeb-0468	LEO	148	
OneWeb-0473	LEO	148	
OneWeb-0474	LEO	148	
OneWeb-0475	LEO	148	
OPTOS	LEO	3	
Optsat-3000	LEO	368	
Optus 10	GEO	"3,270"	
Optus and Defence C1	GEO	"4,800"	
Optus D1	GEO	"2,300"	
Optus D2	GEO	"2,400"	
Optus D3	GEO	"2,501"	
ORBCOMM FM-10	LEO	45	
ORBCOMM FM-11	LEO	45	
ORBCOMM FM-12	LEO	45	
ORBCOMM FM-13	LEO	45	
ORBCOMM FM-14	LEO	45	
ORBCOMM FM-15	LEO	45	
ORBCOMM FM-18	LEO	45	
ORBCOMM FM-19	LEO	45	
ORBCOMM FM-20	LEO	45	
ORBCOMM FM-21	LEO	45	
ORBCOMM FM-23	LEO	45	
ORBCOMM FM-27	LEO	45	
ORBCOMM FM-30	LEO	45	
ORBCOMM FM-31	LEO	45	
ORBCOMM FM-32	LEO	45	
ORBCOMM FM-35	LEO	45	
ORBCOMM FM-36	LEO	45	
ORBCOMM FM-4	LEO	45	
ORBCOMM FM-5	LEO	45	
ORBCOMM FM-6	LEO	45	
ORBCOMM FM-7	LEO	45	
ORBCOMM FM-8	LEO	45	
ORBCOMM FM-9	LEO	45	
ORBCOMM FM-103	LEO	172	
ORBCOMM FM-107	LEO	172	
ORBCOMM FM-108	LEO	172	
ORBCOMM FM-109	LEO	172	
ORBCOMM FM-110	LEO	172	
ORBCOMM FM-112	LEO	172	
ORBCOMM FM-113	LEO	172	
ORBCOMM FM-114	LEO	172	
ORBCOMM FM-115	LEO	172	
ORBCOMM FM-116	LEO	172	
ORBCOMM FM-117	LEO	172	
ORBCOMM FM-118	LEO	172	
Orbital Factory-2	LEO	2	
Orbweaver-1	LEO		
Orbweaver-2	LEO		
ORCA-2	LEO	9	
ORCA-6	LEO	9	
ORCA-7	LEO	9	
OreSat0	LEO	1	
ORS-5	LEO	140	
OTB-1	LEO	138	
PACE-1	LEO	10	
Painani-1	LEO	4	
Painani-2	LEO	4	
Paksat-1R	GEO	"5,120"	
PakTES-1a	LEO	285	
Palisade	LEO	20	
USA 207	GEO		
PAN-A	LEO	4	
PAN-B	LEO	4	
ParkinsonSat-2	Elliptical	6	
Pathfinder II	LEO	20	
Paz	LEO	"1,450"	
Pearl White 1	LEO	8	
Pearl White 2	LEO	8	
PEASSS	LEO	10	
Perseus M1	LEO	6	
Perseus M2	LEO	6	
Cosmos 2486	LEO	"7,000"	
Cosmos 2506	LEO	"7,000"	
PeruSat-1	LEO	430	
Photon Pathstone	LEO	20	
PICASSO	LEO	4	
PICS-1	LEO	1	
PICS-2	LEO	1	
Cosmos 2550	LEO	"6,500"	
PISAT	LEO	6	
PIXL-1	LEO	5	
PlantSat	LEO	4	
Pléiades HR1A 	LEO	"1,000"	
Pléiades HR1B 	LEO	970	
Pleiades Neo 3 	LEO	920	
Pléiades Neo 4	LEO	920	
Polar Scout A	LEO	6	
Polar Scout B	LEO	6	
PolarCube	LEO	4	
PolyITAN-1	LEO	1	
PRISMA	LEO	550	
Proba 1	LEO	100	
Proba 2	LEO	130	
Proba 5	LEO	140	
Prometheus 2.1	LEO	1	
Prometheus 2.10	LEO	2	
Prometheus 2.11 	LEO	2	
Prometheus 2.3	LEO	1	
Prometheus 2.6	LEO	1	
Prometheus 2.7	LEO	1	
Prometheus 2.9	LEO	1	
Prometheus 2-8	LEO	2	
PropCube-1	LEO	1	
PropCube-2	LEO	1	
PropCube-3	LEO	1	
Prox-1	LEO	70	
Proxima-1	LEO	1	
Proxima-2	LEO	1	
PRSS-1	LEO	"1,200"	
PTD-1	LEO	9	
Pujiang-1	LEO		
Pujiang-2	LEO	"2,000"	
PUMBAA	LEO	3	
QARMAN	LEO	5	
Qiancheng-01	LEO	65	
Qilu 1	LEO	100	
Qilu 4	LEO	100	
Qimingxing-1	LEO	19	
QMR-KWT	LEO	1	
QPS-SAR 1	LEO	100	
QPS-SAR 2	LEO	100	
Qsat-EOS	LEO	49	
QSS	LEO	700	
QueztSat-1	GEO	"5,514"	
QZS-1	GEO	"4,000"	
QZS-1R	GEO	"4,100"	
QZS-2	GEO	"4,000"	
QZS-3	GEO	"4,000"	
QZS-4	GEO	"4,000"	
RAAF M2 Pathfinder	LEO	9	
RAAF MS-A	LEO	9	
Raavana-1	LEO	1	
Radarsat-2	LEO	"2,924"	
RadCube	LEO	4	
RadFxSat	LEO	4	
Raduga 1-M2	GEO	"2,500"	
Raduga 1-M3	GEO	"2,400"	
RAISE-2	LEO	110	
RAMSAT	LEO	3	
RANGE-A	LEO	2	
RANGE-B	LEO	2	
USA 225	LEO	350	
RAPIS-1	LEO	200	
RASAT	LEO	113	
Rascom-QAF 1R	GEO	"3,050"	
RAVAN	LEO	5	
RCM-1	LEO	"1,430"	
RCM-2	LEO	"1,430"	
RCM-3	LEO	"1,430"	
Reaktor Hello World	LEO	4	
Red-Eye 1	LEO	100	
Red-Eye 2	LEO	100	
Red-Eye 3	LEO	100	
Reimei	LEO	70	
Relek	LEO	253	
Resourcesat 2	LEO	"1,206"	
Resourcesat 2A	LEO	"1,235"	
Resurs-P1	LEO	"5,900"	
Resurs-P2	LEO	"5,900"	
Resurs-P3	LEO	"5,900"	
RISat-1	LEO	"1,858"	
RISat-2	LEO	93	
RISat-2B	LEO	615	
RISat-2BR1	LEO	628	
RISESAT	LEO	59	
Rising-2	LEO	41	
Robusta-1B	LEO	5	
Cosmos 2416	LEO	225	
Cosmos 2437	LEO	280	
Cosmos 2438	LEO	280	
Cosmos 2439	LEO	280	
Cosmos 2451	LEO	280	
Cosmos 2453	LEO	280	
Cosmos 2467	LEO	225	
Cosmos 2468	LEO	225	
Cosmos 2481	LEO	280	
Cosmos 2482	LEO	250	
Cosmos 2483	LEO	250	
Cosmos 2484	LEO	250	
Cosmos 2488	LEO	280	
Cosmos 2489	LEO	280	
Cosmos 2490	LEO	280	
Cosmos 2496	LEO	280	
Cosmos 2497	LEO	280	
Cosmos 2498	LEO	280	
Cosmos 2507	LEO	280	
Cosmos 2508	LEO	280	
Cosmos 2509	LEO	280	
Cosmos 2530	LEO	280	
Cosmos 2531	LEO	280	
Cosmos 2532	LEO	280	
RSP-01	LEO	1	
RSW-1 01	LEO	300	
RSW-1 02	LEO	300	
Rumba	Elliptical	"1,200"	
SAI NanoConnect 2	LEO	3	
Salsa	Elliptical	"1,200"	
SALSAT	LEO	12	
Samba	Elliptical	"1,200"	
Sanosat-1	LEO	1	
SAOCOM-1A	LEO	"1,650"	
SAOCOM-1B	LEO	"3,050"	
Sapphire	LEO	148	
SARAL	LEO	407	
SAR-Lupe 1	LEO	770	
SAR-Lupe 2	LEO	770	
SAR-Lupe 3	LEO	770	
SAR-Lupe 4	LEO	770	
SAR-Lupe 5	LEO	770	
Sateliot Enxaneta	LEO	4	
SATTLA-2B	LEO	1	
Saudicomsat-1	LEO	12	
Saudicomsat-2 	LEO	12	
Saudicomsat-3	LEO	12	
Saudicomsat-4	LEO	12	
Saudicomsat-5	LEO	12	
Saudicomsat-6	LEO	12	
Saudicomsat-7	LEO	12	
Saudisat 1C	LEO	10	
Saudisat-2 	LEO	35	
Saudisat-3	LEO	200	
Saudisat-5A	LEO	425	
Saudisat-5B	LEO	425	
USA 230	GEO	"4,500"	
USA 241	GEO	"4,500"	
USA 273	GEO	"4,500"	
USA 282	GEO	"4,500"	
USA 315	GEO	"4,850"	
USA 216	LEO	"1,031"	
USA 181	LEO	"5,000"	
USA 181	LEO	"5,000"	
USA 194	LEO	"5,000"	
USA 194	LEO	"5,000"	
USA 229	LEO		
USA 229	LEO	"5,000"	
USA 238	LEO	"6,500"	
USA 238	LEO	"6,500"	
USA 264	LEO	"6,500"	
USA 264	LEO	"6,500"	
USA 274	LEO	"6,500"	
USA 274	LEO	"6,500"	
ScatSat-1	LEO	371	
SCD-1	LEO	110	
SCD-2	LEO	110	
Scisat-1	LEO	150	
SDGSAT 1	LEO	500	
SDO	GEO	"3,100"	
USA 179	Elliptical		
USA 198	Elliptical		
USA 227	GEO		
USA 236	GEO		
USA 252	GEO		
USA 269	GEO		
USA 279	GEO		
SDS-4	LEO	50	
Seahawk-1	LEO	4	
